time/ s,O=C(CO)CO/ M,O=CC(O)(CO)CO/ M,O=C[C@H](O)[C@H](O)CO/ M,O=C[C@@H](O)[C@H](O)CO/ M,O=C(CO)[C@H](O)CO/ M,O=C(CO)C(O)(CO)CO/ M,O=C[C@H](O)C(O)(CO)CO/ M,O=C[C@@](O)(CO)[C@H](O)CO/ M,O=C[C@](O)(CO)[C@H](O)CO/ M,O=C[C@H](O)[C@@H](O)[C@H](O)CO/ M,O=C(CO)[C@@H](O)[C@H](O)CO/ M,O=C([C@H](O)CO)[C@H](O)CO/ M,O=C[C@H](O)[C@H](O)[C@H](O)CO/ M,O=C([C@@H](O)CO)[C@H](O)CO/ M,O=C([C@H](O)CO)C(O)(CO)CO/ M,O=C[C@@](O)(CO)C(O)(CO)CO/ M,O=C[C@H](O)[C@@](O)(CO)[C@H](O)CO/ M,O=C[C@](O)(CO)[C@@H](O)[C@H](O)CO/ M,O=C([C@@H](O)CO)[C@@H](O)[C@H](O)CO/ M,O=C[C@@](O)(CO)[C@H](O)[C@H](O)CO/ M,O=C(CO)[C@@](O)(CO)[C@H](O)CO/ M,O=C[C@H](O)[C@](O)(CO)[C@H](O)CO/ M,O=C(CO)[C@@H](O)[C@@H](O)[C@H](O)CO/ M,O=C(CO)[C@H](O)[C@@H](O)[C@H](O)CO/ M,O=C(CO)[C@@H](O)[C@H](O)[C@H](O)CO/ M
4267.56,0.00175556,0.016287767,4.55E-05,9.11E-05,0.001689961,0.000519452,0.000112988,0.002131656,0.001138716,4.71E-05,0.002822232,0.002147583,0.000106025,0.001707972,0.000180832,3.37E-05,4.99E-05,0.001013888,0.001661144,0.000692207,8.30E-05,6.78E-05,0.000318687,1.77E-05,2.21E-05
4297.68,0.003979087,0.016284636,6.45E-05,0.000103113,0.004484091,0.000276046,6.52E-05,0.00169503,0.0014951,3.67E-05,0.0025477,0.00255092,7.28E-05,0.002170976,0,2.31E-05,0,0.000951701,0.001286347,0.00041215,0.00010135,7.69E-05,0.0001897,0,0
4327.8,0.002789562,0.017959112,5.79E-05,0.000101181,0.002981183,0.000465848,0.000123038,0.002297651,0.002270686,6.70E-05,0.003047302,0.004007484,0.000103134,0.004130017,0,2.72E-05,0,0.001102666,0.001889684,0.000722837,0.000124932,0,0.000346984,0,0
4357.92,0.000864277,0.006774993,1.08E-05,2.73E-05,0.00122335,3.64E-05,1.14E-05,0.00020578,0.000297354,3.87E-06,0.000443066,0.000569107,1.82E-05,0.000501583,5.75E-07,6.81E-07,3.96E-07,7.82E-05,0.000142001,2.35E-05,7.09E-06,3.50E-06,8.37E-06,0,0
4388.04,0.009879699,0.016231151,0.000129503,0.000115165,0.004856743,0.000101051,0.000165501,0.002389699,0.001066798,7.23E-05,0.003298522,0.003262929,7.65E-05,0.001785571,2.07E-05,4.62E-05,3.54E-05,0.001535062,0.000929704,0.000152449,4.99E-05,4.88E-05,5.09E-05,7.36E-06,0
4448.28,0.005088384,0.016208198,0.000137195,0.000106151,0.004692811,0.000136499,6.68E-05,0.001635781,0.001374946,5.79E-05,0.002359399,0.002994021,7.81E-05,0.002556118,0,3.69E-05,0,0.000848945,0.000842726,0.000180575,4.64E-05,3.27E-05,0.000111929,0,0
4478.4,0.00448169,0.017493848,0.000114303,0.000149095,0.00494266,0.00014366,6.48E-05,0.001785664,0.002092019,5.54E-05,0.002822902,0.004133753,0.00014282,0.003512512,0,2.73E-05,0,0.000915139,0.001139385,0.000182511,8.27E-05,7.98E-05,8.53E-05,0,0
4508.52,0.004428407,0.016641886,0.000132735,0.000100762,0.004826934,0.000189078,7.75E-05,0.001749503,0.001615891,6.21E-05,0.002448592,0.003318719,0.000141591,0.002880272,0,3.13E-05,0,0.00072451,0.001066497,0.000211891,4.60E-05,4.02E-05,8.72E-05,0,0
4538.64,0.004924285,0.016415054,0.000148488,0.00011638,0.005037758,0.000113893,7.56E-05,0.001661869,0.001640326,6.76E-05,0.002411231,0.003481806,8.81E-05,0.003090279,0,2.21E-05,0,0.000627366,0.000784869,0.000119682,3.06E-05,1.59E-05,4.69E-05,0,0
4568.76,0.00353712,0.018180663,6.73E-05,0,0.003408021,0.000283029,8.25E-05,0.002248598,0.002389313,6.73E-05,0.003173652,0.004667319,8.49E-05,0.00441225,0,3.07E-05,0,0.001113293,0.002045845,0.000419386,0.000125971,0.000184224,0.000185419,0,0
